tweet_id,term
57,poalkatyperri
57,nova
57,foto
57,de
57,kati
57,com
57,dj
57,diplo
57,na
57,pai
57,oscar
57,festa
57,foi
57,organizada
57,pela
57,vaniti
57,fair
58,vanityfair
58,best
58,oscar
58,reaction
58,breakdown
58,didn
58,show
59,khaleesi_ren
59,dev
59,patel
59,reaction
59,sunni
59,pawar
59,never
59,see
59,anyth
59,pure
59,oscar
60,ladivaza
60,pasando
60,pena
60,oscar
61,mintmovi
61,brie
61,larson
61,emma
61,brie
61,oscar
62,joechonlawit
62,missunivers
62,oscar
63,pamela_moor
63,truli
63,believ
63,border
63,open
63,ur
63,exclus
63,oscar
63,event
63,pai
63,doubl
63,standard
63,hypo
64,lrihendri
64,unbeliev
64,ironi
64,hypocrisi
64,can
64,see
64,oscar
65,refineri
65,rais
65,hand
65,think
65,oscar
65,oscarg
65,elect
65,popularvot
66,mintmovi
66,brie
66,larson
66,emma
66,brie
66,oscar
67,top
67,beauti
67,look
67,oscar
67,oscar
67,oscar
67,lilycollin
67,academyaward
67,redcarpet
68,votetrumpp
68,vote
68,oscar
68,nomine
68,origin
68,fakenew
68,stori
69,theaffinitymag
69,viola
69,davi
69,becom
69,first
69,black
69,actress
69,win
69,emmi
69,toni
69,oscar
69,act
69,oscar
70,drmayfox
70,hollywood
70,want
70,openbord
70,illeg
70,open
70,wall
70,mansion
70,illeg
70,oscar
70,http
71,fotograma_es
71,emma
71,stone
71,gana
71,el
71,oscar
71,la
71,mejor
71,actriz
71,por
71,lalaland
71,oscar
72,haileesteinfeld
72,night
72,rememb
72,oscar
73,mtv
73,loooooov
73,ninadobrev
73,vanityfair
73,oscar
73,pai
73,look
74,latest
74,dubai
74,ladi
74,daili
74,updat
74,thank
74,dgskincar
74,realdeancain
74,eazydinerua
74,dubai
74,oscar
75,bojackhorseman
75,see
75,happen
75,oscar
76,rayliotta
76,just
76,heard
76,happen
76,last
76,night
76,oscar
77,bostonglob
77,wrong
77,envelop
77,get
77,warren
77,beatti
77,hand
77,oscar
78,sodamntru
78,love
78,everyth
78,oscar
79,rairadio
79,decimati
79,dalla
79,influenza
79,se
79,retwitti
79,cinziapoli
79,guarisc
79,dalla
79,febbr
79,febbraio
79,montalbano
79,oscar
80,opfavestyl
80,auli
80,cravalho
80,look
80,like
80,princess
80,red
80,carpet
80,oscar
81,racheldoesstuff
81,someon
81,sta
81,cult
81,around
81,janel
81,mona
81,ll
81,join
81,oscar
82,beyond
82,comprehens
82,dilusionaldem
82,hollywoodliber
82,maga
82,dumb
82,oscar
83,voguemagazin
83,violadavi
83,turn
83,head
83,oscar
83,red
83,carpet
83,armani
83,gown
84,dakohol
84,dakota
84,emili
84,vaniti
84,fair
84,oscar
84,pai
84,last
84,night
84,dakotajohnson
84,oscar
85,es
85,normal
85,que
85,haya
85,gustado
85,johnwick
85,que
85,la
85,triunfadora
85,de
85,lo
85,oscar
85,la
85,mui
85,aburrida
85,lalaland
85,tan
85,mal
85,estoi
86,un_huevo_
86,si
86,est
86,nominado
86,pued
86,perder
86,el
86,scar
86,oscar
87,haykorr
87,moana
87,youv
87,come
87,far
87,oscar
88,jonacuff
88,next
88,time
88,mess
88,someth
88,rememb
88,oscar
88,year
88,million
88,dollar
88,budget
88,get
88,right
89,pictolin
89,el
89,de
89,ayer
89,fue
89,el
89,fail
89,grand
89,en
89,la
89,historia
89,de
89,lo
89,oscar
89,esto
89,fue
89,lo
89,que
89,en
89,realidad
89,pa
90,nasa
90,comput
90,comput
90,wore
90,ski
90,learn
90,katherin
90,johnson
90,oscar
91,fastcompani
91,simpl
91,design
91,chang
91,save
91,oscar
92,sunnymargot
92,sta
92,bottom
92,now
92,re
92,oscar
93,oneperfectshot
93,moonlight
93,dp
93,jame
93,laxton
93,director
93,barri
93,jenkin
93,oscar
94,erickjunior
94,la
94,cara
94,de
94,la
94,celebridad
94,ant
94,el
94,error
94,de
94,lo
94,oscar
94,est
94,actuando
94,es
94,ficci
95,britishvogu
95,chang
95,see
95,slip
95,head
95,oscar
95,pai
96,seriesupdatesfr
96,emma
96,robe
96,aux
96,oscar
97,oh
97,boi
97,facepalm
97,inmemoriam
97,poorproduc
97,stillkickin
97,oscarsmistak
97,oscar
98,essenc
98,see
98,octaviaspenc
98,oscar
99,duckisgod
99,controversi
99,asid
